ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,CVEGEO,luces,ndvi,zurbana,Datos,AREA,DENSIDAD,POBTOT,TOTHOG,VIVTOT,TVIVHAB,TEMPERATURA
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,147A,150130001147A,63,0.282554285,0.479667899,1,0.608186873,15256.82388,9279,2243,2421,2264,31.3718
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1484,1.50E+12,63,0.154016098,0.601801981,1,0.308630932,19000.03981,5864,1534,1636,1539,28.9678
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1499,1.50E+12,63,0.154016098,0.601801981,1,0.426949736,15903.51142,6790,1710,1901,1712,28.9678
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1501,1.50E+12,63,0.154016098,0.601801981,1,0.330498121,14665.74148,4847,1282,1405,1292,28.9678
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1516,1.50E+12,63,0.154016098,0.601801981,1,0.250882905,16593.39839,4163,1062,1139,1068,28.9678
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1535,1.50E+12,63,0.154016098,0.601801981,1,0.235394506,15578.1036,3667,886,938,889,28.9678
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1554,1.50E+12,63,0.156281383,0.792734077,1,0.085663738,23113.63054,1980,653,1054,679,27.6676
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1569,1.50E+12,63,0.156281383,0.792734077,1,0.147625167,21859.41643,3227,1001,1311,1033,27.6676
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1588,1.50E+12,63,0.154016098,0.601801981,1,0.249748017,16808.94226,4198,1078,1146,1082,28.9678
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,161A,150130001161A,63,0.154016098,0.601801981,1,0.293009357,13965.42433,4092,1065,1270,1066,28.9678
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1639,1.50E+12,63,0.154016098,0.601801981,1,0.227614544,10197.0637,2321,576,669,576,28.9678
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1662,1.50E+12,63,0.156281383,0.792734077,1,0.28754127,16314.17988,4691,1150,1268,1150,27.6676
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1681,1.50E+12,63,0.282554285,0.479667899,1,0.282995635,14173.36351,4011,1190,1382,1225,31.3718
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1696,1.50E+12,63,0.282554285,0.479667899,1,0.623592764,6002.314679,3743,1031,1225,1066,31.3718
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1709,1.50E+12,61,0.240490684,0.425434842,1,0.090712015,2535.496533,230,63,73,67,28.4492
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1713,1.50E+12,63,0.210887711,0.554232645,1,0.473063977,6316.270408,2988,856,1045,876,29.9644
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1728,1.50E+12,63,0.210887711,0.554232645,1,0.286521996,13150.82282,3768,1069,1237,1086,29.9644
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1732,1.50E+12,63,0.210887711,0.554232645,1,0.411745872,8825.832267,3634,1078,1236,1088,29.9644
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1766,1.50E+12,63,0.154016098,0.601801981,1,0.142938787,20351.36896,2909,703,774,709,28.9678
